<<<<<<< HEAD
2025-05-30 13:01:14.648 [http-nio-8080-exec-1] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-30 13:01:14.773 [http-nio-8080-exec-1] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 0 books
2025-05-30 13:01:14.854 [http-nio-8080-exec-4] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-30 13:01:14.861 [http-nio-8080-exec-4] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 0 books
2025-05-30 13:02:01.187 [http-nio-8080-exec-5] INFO  com.bookstore.bookstore_app.controller.UserController - POST /api/auth/register - Registration attempt for email: Arnav@gmail.com
2025-05-30 13:02:01.390 [http-nio-8080-exec-5] INFO  com.bookstore.bookstore_app.controller.UserController - User registration successful via API - Email: Arnav@gmail.com
2025-05-30 13:02:16.283 [http-nio-8080-exec-6] INFO  com.bookstore.bookstore_app.controller.UserController - POST /api/auth/login - Login attempt for email: Arnav@gmail.com
2025-05-30 13:02:16.393 [http-nio-8080-exec-6] INFO  com.bookstore.bookstore_app.controller.UserController - User login successful via API - Email: Arnav@gmail.com, Role: USER
2025-05-30 13:02:16.431 [http-nio-8080-exec-9] INFO  com.bookstore.bookstore_app.controller.UserController - GET /api/auth/profile - Fetching user profile
2025-05-30 13:02:16.434 [http-nio-8080-exec-9] WARN  com.bookstore.bookstore_app.controller.UserController - Profile request failed - Invalid or expired token
2025-05-30 13:02:16.844 [http-nio-8080-exec-10] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-30 13:02:16.852 [http-nio-8080-exec-10] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 0 books
2025-05-30 13:02:16.862 [http-nio-8080-exec-1] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-30 13:02:16.869 [http-nio-8080-exec-1] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 0 books
2025-05-30 13:02:41.925 [http-nio-8080-exec-3] INFO  com.bookstore.bookstore_app.controller.UserController - POST /api/auth/login - Login attempt for email: arnav@gmail.com
2025-05-30 13:02:41.998 [http-nio-8080-exec-3] INFO  com.bookstore.bookstore_app.controller.UserController - User login successful via API - Email: arnav@gmail.com, Role: USER
2025-05-30 13:02:42.012 [http-nio-8080-exec-2] INFO  com.bookstore.bookstore_app.controller.UserController - GET /api/auth/profile - Fetching user profile
2025-05-30 13:02:42.014 [http-nio-8080-exec-2] WARN  com.bookstore.bookstore_app.controller.UserController - Profile request failed - Invalid or expired token
2025-05-30 13:02:42.107 [http-nio-8080-exec-7] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-30 13:02:42.116 [http-nio-8080-exec-7] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 0 books
2025-05-30 13:02:42.122 [http-nio-8080-exec-6] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-30 13:02:42.132 [http-nio-8080-exec-6] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 0 books
=======
2025-05-29 11:17:17.844 [http-nio-8080-exec-6] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-29 11:17:17.858 [http-nio-8080-exec-9] INFO  com.bookstore.bookstore_app.controller.UserController - GET /api/auth/profile - Fetching user profile
2025-05-29 11:17:18.045 [http-nio-8080-exec-9] INFO  com.bookstore.bookstore_app.controller.UserController - User profile retrieved successfully via API - Email: john@example.com
2025-05-29 11:17:18.059 [http-nio-8080-exec-6] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 2 books
2025-05-29 11:17:18.136 [http-nio-8080-exec-7] INFO  com.bookstore.bookstore_app.controller.UserController - GET /api/auth/profile - Fetching user profile
2025-05-29 11:17:18.138 [http-nio-8080-exec-4] INFO  com.bookstore.bookstore_app.controller.BookController - GET /api/books/all - Fetching all books
2025-05-29 11:17:18.150 [http-nio-8080-exec-4] INFO  com.bookstore.bookstore_app.controller.BookController - API returned 2 books
2025-05-29 11:17:18.150 [http-nio-8080-exec-7] INFO  com.bookstore.bookstore_app.controller.UserController - User profile retrieved successfully via API - Email: john@example.com
2025-05-29 11:17:18.268 [http-nio-8080-exec-6] INFO  com.bookstore.bookstore_app.controller.OrderController - GET /api/orders/user/1 - Fetching user orders
2025-05-29 11:17:18.268 [http-nio-8080-exec-2] INFO  com.bookstore.bookstore_app.controller.AddressController - GET /api/addresses/user/1 - Fetching user addresses
2025-05-29 11:17:18.268 [http-nio-8080-exec-1] INFO  com.bookstore.bookstore_app.controller.CartController - GET /api/cart/1 - Fetching cart items
2025-05-29 11:17:18.268 [http-nio-8080-exec-9] INFO  com.bookstore.bookstore_app.controller.WishlistController - GET /api/wishlist/1 - Fetching user wishlist
2025-05-29 11:17:18.295 [http-nio-8080-exec-1] INFO  com.bookstore.bookstore_app.controller.CartController - Retrieved 1 cart items via API for user ID: 1
